aar;video_url;kommune;tittel;tema;hva_er_spesielt;folelse;antrekk;type_bygg_og_industri;type_historisk;type_natur_og_idrett;type_kunst_og_haandverk;type_idrett_og_fysisk_aktivitet;tema_samlere_entusiaster_og_oppfinnere;tema_vitenskap;relasjoner;type_musikere;type_mat;type_dyr;antall_menn;antall_kvinner;tema_natur_og_friluftsliv;tema_kjop_og_salg;type_landbruk_og_fiske;offentlige_tjenester_og_veldedighet;hovedperson1_kjonn;hovedperson2_kjonn;hovedperson3_kjonn;hovedperson1_alder;hovedperson2_alder;hovedperson3_alder;tema_politikk_og_media
2004;https://tv.nrk.no/serie/norge-rundt/PRHO04004004/01-10-2004#t=9m55s;Ukjent sted;Nordland: Høsten i Nord-Norge;Natur og friluftsliv;;;;;;;;;;;;;;;;;Årstider og vakker natur;;;;;;;;;;
2004;https://tv.nrk.no/serie/norge-rundt/PRHO04004004/01-10-2004#t=13m46s;Ukjent sted;Hallingdalsfjella: Eivind Fredlaus;Historisk;;;Caps;;Bygdehistorie og årbøker;;;;;;;;;;4;2;;;;;Mann;Mann;;30 til 40;60 til 70;;
2004;https://tv.nrk.no/serie/norge-rundt/PRHO04004004/01-10-2004#t=18m13s;Trondheim;Trondheim: Petrusjka-teater;Kunst og Håndverk;Spesiell jobb;;;;;;Dukkemaker, Dukketeater, Teater og forestillinger;;;;;;;;1;1;;;;;Kvinne;;;60 til 70;;;
2004;https://tv.nrk.no/serie/norge-rundt/PRHO04004104/08-10-2004#t=0s;Kvinnherad;Fylkesmesterskap i bruk av gjeterhund (Mellomstikk);Ukategoriserbart;;;Caps, Hatt, Kjeledress;;;;;;;;;;;;8;7;;;;;Mann;Kvinne;;70 til 80;50 til 60;;
2004;https://tv.nrk.no/serie/norge-rundt/PRHO04004104/08-10-2004#t=2m23s;Kvam;Radiosamler og reparatør;Samlere entusiaster og oppfinnere;Nerdefaktor;;Caps;;;;;;Radio TV og media;;;;;;2;;;;;;Mann;;;30 til 40;;;
2004;https://tv.nrk.no/serie/norge-rundt/PRHO04004104/08-10-2004#t=9m;Lom;Porselensmaler;Kunst og Håndverk;;;;;;;Porselen og keramikk, Tegning og maling;;;;;;;;;1;;;;;Kvinne;;;40 til 50;;;
2004;https://tv.nrk.no/serie/norge-rundt/PRHO04004104/08-10-2004#t=14m43s;Vestnes;Tresteg-Jakob;Idrett og fysisk aktivitet;Alder;Wow;Treningsklær;;;;;;;;;;;;1;;;;;;Mann;;;70 til 80;;;
2004;https://tv.nrk.no/serie/norge-rundt/PRHO04004104/08-10-2004#t=18m46s;Solund;Notøy;Ukategoriserbart;;;;;;;;;;;;;;;1;3;;;;;Mann;Kvinne;Kvinne;70 til 80;60 til 70;50 til 60;
2004;https://tv.nrk.no/serie/norge-rundt/PRHO04004204/15-10-2004#t=1m3s;Bergen;Bergen: Haukeland Sykehus;Offentlige tjenester og veldedighet;;;Caps, Hatt, Uniform;;;;;;;;;;;;7;7;;;;Sykehus;Mann;Mann;Kvinne;30 til 40;40 til 50;30 til 40;
2004;https://tv.nrk.no/serie/norge-rundt/PRHO04004204/15-10-2004#t=2m6s;Oppdal;Oppdal: Fårikålrekord;Mat;;;Caps, Hatt, Uniform;;;;;;;;;;Diverse tradisjonsmat;;50;50;;;;;Mann;Mann;Mann;60 til 70;15 til 20;15 til 20;
